id;Type of study;Gender;Age;Study Year;Finance;Housing;Sport;Age of first glass;Age drunk for the first time;have you ever drink alcool;Which kind of alcool do you drink most often;Frequency;When you drink, how many glasses;how often;when: family events;when:students party;when:bar-disco;when:home;when:sport or culture events;when:outside(beach, etc…);withwho:Alone;withwho:friends;withwho:family;why:fun pleasure;why:todo like everybody;why:for the effects;why:to get confidence;why:because i need it;due to alcool: Have you ever forgotten a part of your party;due to alcool: fallen, vomit, ethylic coma ;due to alcool: have non-protected sexual intercourse;due to alcool: being harrassed or stolen;due to alcool: have a car accident;after having drink: drive a car;due to alcool:been admitted to an ER;Do you agree: One cannot get drunk with cider;Do you agree: Drinking Champagne is safe;Do you agree: No danger in being drunk once a week;Do you agree: we have more fun without alcool;Study level;Frequency of being drunk;Frequency Alcool consumption;origin
89;Arts and communication;Male;23;3;Good;Appartement seul;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;10;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
90;Social Sciences;Female;22;4;Good;Domicile parental;Yes;16;20;Yes;Vin;2 a 4 fois par mois;4;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;Yes;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
91;Human sciences;Female;19;2;Good;Colocation;Yes;14;14;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
92;Foreign languages;Female;21;2;Average;Domicile parental;No;18;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
93;Social Sciences;Male;20;2;Good;Appartement seul;No;14;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;6;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
94;Social Sciences;Female;23;2;Average;Cite Universitaire;Yes;7;19;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Yes;Licence;once a month or -;4/month or -;Bretagne
95;Social Sciences;Female;19;1;Bad;Domicile parental;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;7;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;2/week or +;Bretagne
96;Medical school;Female;19;1;Good;Domicile parental;;16;18;Yes;Autre alcool;1 fois par month or moins;0;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
97;Foreign languages;Female;19;2;Good;Colocation;Yes;16;17;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
98;Social Sciences;Male;18;1;Good;;No;18;18;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;15;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Licence;15 days or +;4/month or -;Bretagne
99;Social Sciences;Male;21;4;Average;Appartement seul;Yes;15;16;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;Yes;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;Yes;Yes;Master;once a month or -;4/month or -;France hors Bretagne
100;Social Sciences;Male;20;1;Good;Domicile parental;No;18;18;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
101;Foreign languages;Female;19;2;Average;Domicile parental;No;10;15;Yes;Biere;2 a 4 fois par mois;4;2 a 4 fois par mois;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
102;Social Sciences;Female;21;4;Good;Appartement seul;Yes;15;15;Yes;Biere;2 a 4 fois par mois;4;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;No;No;Yes;No;Master;15 days or +;4/month or -;France hors Bretagne
103;Social Sciences;Male;20;1;Good;Domicile parental;Yes;;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;Bretagne
104;Foreign languages;Female;19;2;Average;Appartement seul;Yes;16;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;6;2 a 3 fois par semaine;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;Licence;15 days or +;2/week or +;France hors Bretagne
105;Foreign languages;Female;22;3;Good;Domicile parental;No;16;16;Yes;Vin;2 a 3 fois par semaine;4;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;2/week or +;Bretagne
106;Arts and communication;Male;20;2;Good;Appartement en couple;No;15;15;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;France hors Bretagne
107;Foreign languages;Female;18;2;Good;Domicile parental;Yes;16;;Yes;Cidre;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
108;Foreign languages;Female;19;3;Good;Appartement seul;No;13;15;Yes;Vin;2 a 4 fois par mois;0;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
109;Foreign languages;Female;20;3;Good;Appartement seul;No;14;16;Yes;Autre alcool;1 fois par month or moins;0;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
110;Foreign languages;Female;20;2;Good;Colocation;Yes;15;17;Yes;Biere;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;;Yes;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
111;Human sciences;Male;26;2;Bad;Colocation;No;16;16;Yes;Biere;2 a 4 fois par mois;2;2 a 4 fois par mois;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;ne se proNoce pas;Licence;15 days or +;4/month or -;Bretagne
112;Foreign languages;Female;20;2;Good;Domicile parental;Yes;12;15;Yes;Vin;2 a 3 fois par semaine;5;2 a 4 fois par mois;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
113;Human sciences;Male;21;2;Average;Colocation;No;15;15;Yes;Cidre;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France hors Bretagne
114;Human sciences;Female;46;3;Good;Appartement en couple;No;15;16;Yes;Vin;2 a 3 fois par semaine;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;2/week or +;Bretagne
115;Foreign languages;Female;21;2;Average;Colocation;Yes;13;13;Yes;Wine;2 to 3 times per week;5;2 to 4 times per month;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;Yes;No;Yes;No;Licence;15 days or +;2/week or +;France not Brittany
116;Foreign languages;Male;20;2;Average;Colocation;No;14;15;Yes;Biere;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;Yes;Yes;Yes;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Licence;15 days or +;2/week or +;Bretagne
117;Foreign languages;Female;20;3;Good;Cite Universitaire;Yes;15;16;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Licence;;;France hors Bretagne
118;Foreign languages;Female;21;3;Good;Domicile parental;No;14;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
119;Foreign languages;Female;28;6;Bad;Appartement en couple;No;21;23;Yes;Wine;2 to 4 times per month;0;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;;Doctorat;once a month or -;4/month or -;Foreign country
120;Foreign languages;Female;17;1;Average;Domicile parental;No;14;;Yes;Autre alcool;1 fois par month or moins;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
121;Foreign languages;Female;18;1;Good;Appartement seul;Yes;16;16;Yes;Biere;1 fois par month or moins;0;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
122;Medical school;Female;18;1;Good;Domicile parental;Yes;16;;Yes;Biere;1 fois par month or moins;2;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Ne veut pas repondre;Yes;No;No;No;No;No;Yes;Yes;No;No;Licence;once a month or -;4/month or -;Bretagne
123;Arts and communication;Female;24;4;Good;Domicile parental;No;14;14;Yes;Biere;2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;15 days or +;4/month or -;Bretagne
124;Human sciences;Male;19;2;Good;Appartement seul;Yes;12;13;Yes;Vin;2 a 3 fois par semaine;8;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;Yes;No;No;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
125;Autre;Female;21;4;Good;Domicile parental;Yes;17;;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 3 fois par semaine;3;1 fois par month or moins;No;Yes;No;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;2/week or +;Bretagne
126;Odontology;Female;22;4;Average;Appartement seul;Yes;15;15;Yes;Vin;2 a 3 fois par semaine;5;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Master;15 days or +;2/week or +;Bretagne
128;Human sciences;Male;26;3;Average;Foyer;Yes;12;18;Yes;Beer;2 to 4 times per month;2;2 to 4 times per month;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;No;No;No;No;;Yes;;Licence;15 days or +;4/month or -;Brittany
129;Foreign languages;Female;18;1;Good;Domicile parental;No;14;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
130;Social Sciences;Female;18;1;Good;Appartement seul;No;14;15;Yes;Biere;2 a 3 fois par semaine;20;2 a 3 fois par semaine;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Bretagne
131;Arts and communication;Female;23;5;Good;Domicile parental;No;21;;No;;;;;;;;;;;;;;;;;;;;;;;;;;No;No;No;Yes;Master;;;Bretagne
132;Medical school;Female;19;2;Good;Domicile parental;Yes;16;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;Yes;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
133;Arts and communication;Female;22;4;Good;Cite Universitaire;Yes;18;21;Yes;Biere;2 a 4 fois par mois;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
134;Foreign languages;Female;19;2;Good;Appartement seul;No;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
135;Arts and communication;Female;20;3;Good;Colocation;Yes;15;16;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;Yes;Yes;No;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
136;Social Sciences;Male;19;1;Average;Domicile parental;No;16;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;20;2 a 4 fois par mois;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
137;Human sciences;Female;21;3;Average;Appartement seul;No;13;15;Yes;Biere;2 a 3 fois par semaine;4;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;No;No;ne se proNoce pas;ne se proNoce pas;Licence;once a month or -;2/week or +;France hors Bretagne
138;Medical school;Female;20;2;Good;Appartement seul;Yes;15;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;7;2 a 4 fois par mois;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;Yes;No;No;No;Yes;Yes;Yes;Yes;Licence;15 days or +;4/month or -;Bretagne
139;Medical school;Female;18;1;Good;Domicile parental;Yes;14;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
140;Medical school;Female;19;1;Good;Foyer;No;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
141;Foreign languages;Female;20;2;Average;Colocation;No;18;18;Yes;Beer;2 to 4 times per month;0;2 to 4 times per month;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;No;Yes;No;No;No;No;No;;No;No;Yes;Licence;15 days or +;4/month or -;Foreign country
142;Arts and communication;Female;20;2;Good;Appartement en couple;Yes;14;14;Yes;Vin;1 fois par month or moins;3;1 fois par month or moins;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
143;Pharmacy;Male;21;4;Good;Chambre chez l_habitant;Yes;14;18;Yes;Vin;2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Master;once a month or -;4/month or -;Bretagne
144;Human sciences;Female;22;3;Good;Appartement en couple;Yes;;16;Yes;Vin;1 fois par month or moins;0;1 fois par month or moins;Yes;No;No;No;No;No;No;Yes;No;Yes;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Etranger
145;Medical school;Female;18;1;Good;Domicile parental;No;13;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;Yes;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
146;Arts and communication;Male;18;1;Average;Colocation;Yes;15;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 3 fois par semaine;6;1 fois par month or moins;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;Licence;once a month or -;2/week or +;Bretagne
147;Autre;Male;22;4;Good;Domicile parental;Yes;12;14;Yes;Vin;2 a 3 fois par semaine;10;2 a 4 fois par mois;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;Master;15 days or +;2/week or +;Bretagne
148;Foreign languages;Male;23;3;Average;Cite Universitaire;No;14;16;Yes;Autre alcool;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
149;Foreign languages;Female;22;3;Bad;Appartement en couple;No;17;18;Yes;Wine;1 time per month or less;0;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;France not Brittany
150;Foreign languages;Male;18;2;Good;Appartement seul;No;17;;Yes;Wine;1 time per month or less;0;Never;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;No;Yes;Yes;Licence;once a month or -;4/month or -;Brittany
151;Human sciences;Female;20;1;Good;Appartement seul;Yes;15;15;Yes;Vin;2 a 4 fois par mois;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;ne se proNoce pas;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
152;Pharmacy;Female;20;3;Good;Appartement seul;Yes;16;17;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;France hors Bretagne
153;Arts and communication;Male;22;1;Good;Appartement seul;Yes;13;13;Yes;Biere;2 a 4 fois par mois;5;1 fois par month or moins;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;No;No;No;Yes;No;No;Yes;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
154;Foreign languages;Female;18;1;Good;Domicile parental;Yes;13;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
155;Foreign languages;Female;18;1;Good;Domicile parental;Yes;14;15;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
156;Human sciences;Female;20;1;Average;Domicile parental;Yes;14;14;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;1;2 a 4 fois par mois;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;Bretagne
157;Foreign languages;Female;19;1;Average;Cite Universitaire;No;16;16;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;4;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;No;No;No;No;Yes;No;Yes;No;Licence;once a month or -;4/month or -;Bretagne
158;Arts and communication;Female;21;3;Good;Domicile parental;Yes;14;;Yes;Biere;2 a 4 fois par mois;4;1 fois par month or moins;Yes;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
159;Pharmacy;Male;22;3;Good;Colocation;Yes;15;18;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;No;Yes;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;Yes;No;No;No;No;ne se proNoce pas;Licence;once a month or -;4/month or -;Bretagne
160;Foreign languages;Female;18;1;Good;Domicile parental;Yes;16;17;Yes;Alcool fort (vodka, pastis, whisky, liqueur);1 fois par month or moins;1;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
161;Social Sciences;Female;19;1;Good;Domicile parental;No;14;16;Yes;Alcool fort (vodka, pastis, whisky, liqueur);2 a 4 fois par mois;2;1 fois par month or moins;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
162;Arts and communication;Female;23;4;Good;Appartement seul;No;16;16;Yes;Vin;2 a 4 fois par mois;2;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
163;Foreign languages;Female;20;2;Good;Colocation;Yes;18;20;Yes;Cocktail (vodka-orange, whisky coca, mojito);2 a 4 fois par mois;3;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;;No;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
164;Medical school;Male;19;1;Good;Domicile parental;Yes;10;15;Yes;Biere;2 a 4 fois par mois;0;1 fois par month or moins;No;Yes;Yes;No;No;No;No;Yes;No;Yes;Yes;No;Yes;No;Yes;No;Yes;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
165;Social Sciences;Female;24;3;Bad;Cite Universitaire;No;16;18;Yes;Biere;2 a 4 fois par mois;1;Jamais;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;Bretagne
166;Human sciences;Female;22;1;Bad;Appartement en couple;Yes;13;13;Yes;Biere;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;Yes;No;No;No;No;Yes;Yes;Yes;No;Yes;No;No;Yes;No;No;No;No;No;No;No;No;No;No;Licence;once a month or -;4/month or -;France hors Bretagne
167;Foreign languages;Female;18;1;Good;Colocation;Yes;14;14;Yes;Biere;1 fois par month or moins;0;1 fois par month or moins;No;Yes;Yes;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;Yes;Licence;once a month or -;4/month or -;Bretagne
168;Foreign languages;Female;20;2;Average;Colocation;No;14;14;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;No;No;Yes;No;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;Yes;No;No;No;Licence;once a month or -;4/month or -;Bretagne
169;Arts and communication;Female;22;4;Good;Appartement en couple;No;16;16;Yes;Vin;2 a 4 fois par mois;2;1 fois par month or moins;Yes;No;No;No;No;No;No;No;Yes;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Master;once a month or -;4/month or -;France hors Bretagne
170;Arts and communication;Female;19;2;Average;Appartement en couple;No;14;15;Yes;Wine;2 to 3 times per week;5;2 to 4 times per month;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;Licence;15 days or +;2/week or +;Brittany
171;Foreign languages;Female;20;1;Average;Appartement en couple;No;15;16;Yes;Vin;2 a 4 fois par mois;6;2 a 4 fois par mois;No;No;No;Yes;No;No;No;Yes;No;Yes;No;No;No;No;No;No;No;No;No;No;No;No;No;No;Yes;Licence;15 days or +;4/month or -;Bretagne
172;Arts and communication;Female;20;3;Average;Colocation;No;15;15;Yes;Biere;2 a 4 fois par mois;3;2 a 4 fois par mois;No;Yes;No;No;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;No;No;No;No;No;No;No;Licence;15 days or +;4/month or -;France hors Bretagne
173;Autre;Female;20;2;Good;Colocation;No;15;15;Yes;Biere;2 a 4 fois par mois;10;2 a 4 fois par mois;No;No;Yes;Yes;No;No;No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;Yes;Yes;Yes;No;No;No;No;No;Yes;Licence;15 days or +;4/month or -;Bretagne
